ledger,date,clustering,hhi,nakamoto_coefficient,max_power_ratio
zcash,2025-03-05,False,1978.7739316698826,2,0.406575114440283
zcash,2025-03-13,False,1949.3712220110858,2,0.4021648626144879
zcash,2025-03-23,False,1993.0145848804268,2,0.4087284934955938
zcash,2025-03-28,False,1993.5167379954898,2,0.409245122985581
zcash,2025-04-02,False,2005.8652946207985,2,0.410941475826972
zcash,2025-04-06,False,2004.1047901098557,2,0.4104636324968099
zcash,2025-04-14,False,1939.0043090181439,2,0.4021929824561403
zcash,2025-04-21,False,1993.9306132038482,2,0.41150442477876104
zcash,2025-04-28,False,2024.3410807064138,2,0.41614629794826047
zcash,2025-06-01,False,2137.0045980432856,2,0.432687765706188
zcash,2025-06-07,False,2134.7821868032534,2,0.4330042313117066
zcash,2025-06-14,False,2148.199813632981,2,0.4340077071290944
zcash,2025-07-23,False,2393.3837294694795,2,0.46822379141770776
zcash,2025-07-26,False,2596.3126103406007,2,0.49184505606523954
